,genres_str,app_name,release_date,price,game_id,developer,year,user_id,user_reviews_item_id,review,posted_date,items_count,steam_id,users_items_item_id,item_name,playtime_forever,playtime_2weeks,recommend
6745,strategy,Sid Meier's Civilization® V,2010-09-21,29.989999771118164,8930,"Firaxis Games,Aspyr (Mac, Linux)",2010,Elk160,8930,Doesn't take long to get you hooked,2014-12-19,300,76561198059582003,8930,Sid Meier's Civilization V,1484,0,1
5640,action,Half-Life 2,2004-11-16,9.989999771118164,220,Valve,2004,Lookatthisdude,220,HL3 when? ;_;,2024-01-18,23,76561198059579366,220,Half-Life 2,144,0,1
5676,simulation,Reign Of Kings,2015-12-15,19.989999771118164,344760,Code}{atch,2015,DarthRhys,344760,This game had alot of promise but it is let down by how buggy and near unplayable it is. There is costant lag no matter what your ping so the combat is basically broken with the other players lagging all over the place. How they call this a finished product is beyond me. Codehatch definitely didn't learn there lesson from starforge.,2015-12-27,34,76561197975675487,344760,Reign Of Kings,1179,0,0
21901,rpg,DARK SOULS™ II: Scholar of the First Sin,2015-04-01,39.9900016784668,335300,"FromSoftware, Inc",2015,76561198068004374,335300,"Great game, Not quite a dark souls game IMO but still awesome to play and has a lot of cool features",2024-07-05,44,76561198059603727,335300,DARK SOULS  II: Scholar of the First Sin,550,0,1
733,earlyaccess,Squad,2015-12-14,39.9900016784668,393380,Offworld Industries,2015,76561198074319125,393380,"I have never seen it fit to write a review about any game that I have disliked. However, dont waste your time with this sh*t. Poorly optimized, horrid hit registry and pathetic guns and classes. This game encourages team work but doesnt have the basic gameplay fundamentals to support a range of approaches. Your time will be spent walking through fields, looking at low textured walls and hillsides untill someone you cant see, either its due to poor render distance and resolution or theyre just straight up the master of disguise, pushes your brain out of your skull. When this game does go well it is at best a lot of shooting at areas where you think enemies might be, until you are killed and forced to spawn across the map and run all the way back because your squad leader forgot to put down a spawn beacon. Just do yourself a favour, if you want big open spaces and to pretend to be a 'real soldier', play arma. If you want devastating gunplay with walls and surfaces with actual textures, play Insurgency. This is a hybrid of the two that just simply is unnecessary. Feels like ive been here and done it all before, except with a game that actually worked. Overall it is not a 'bad' game but f&ck it hurts to play.",2024-01-11,68,76561198059693619,393380,Squad,629,0,0
8483,massivelymultiplayer,Heroes & Generals,2016-10-18,-1.0,227940,Reto-Moto,2016,ANUUCHEEKIBREEKIUVDAMKI,227940,"Great WW2 game, all the weapons are great and equal, it's a pay2notgrind kind of game because you can get everything in the game from just playing and there are no items that you can't get with the special currency that you can't get with the normal currency",2015-02-26,121,76561198059566639,227940,Heroes & Generals,39,0,1
1937,indie,BattleBlock Theater®,2014-05-15,14.989999771118164,238460,The Behemoth,2014,76561198070990011,238460,My voice soon changed to Hatty. Money well spent.,2015-06-22,5,76561198059562890,238460,BattleBlock Theater,1003,0,1
6946,rpg,ORION: Prelude,2013-04-16,0.9900000095367432,104900,"Trek Industries, Inc",2013,Emillllllllllllllllllllllll,104900,9/11 would bang,2014-02-24,868,76561197971763633,104900,ORION: Prelude,3,0,1
17511,simulation,Garry's Mod,2006-11-29,9.989999771118164,4000,Facepunch Studios,2006,76561198143796448,4000,i found the answers 10/10,2014-07-09,1,76561198059560580,4000,Garry's Mod,3329,0,1
26112,strategy,Toribash,2006-03-01,-1.0,248570,Nabi Studios,2006,76561198069065620,248570,its a cool game :D,2014-06-06,300,76561198059582003,248570,Toribash,1980,0,1
18969,action,Counter-Strike: Global Offensive,2012-08-21,14.989999771118164,730,Valve,2012,kiricky,730,Go is GOD,2015-01-21,29,76561198059555148,730,Counter-Strike: Global Offensive,2333,0,1
28457,earlyaccess,DayZ,2013-12-16,34.9900016784668,221100,Bohemia Interactive,2013,Ifeelfree,221100,pretty good.a bit bland.step up the devolopment pls.,2015-04-17,77,76561197971688382,221100,DayZ,170,0,1
13728,massivelymultiplayer,PlanetSide 2,2012-11-20,-1.0,218230,Daybreak Game Company,2012,jackmaster1212,218230,very good fps and free,2013-12-27,6,76561198059561486,218230,PlanetSide 2,0,0,1
6906,action,Counter-Strike: Global Offensive,2012-08-21,14.989999771118164,730,Valve,2012,76561198073473575,730,it is hectic buy it off some dude,2013-11-29,29,76561198059555148,730,Counter-Strike: Global Offensive,2333,0,1
3931,adventure,Assassin’s Creed® IV Black Flag™,2013-11-19,19.989999771118164,242050,Ubisoft Montreal,2013,76561198073958869,242050,"This game is so fun and packed with adventurist things to do, that when i finished the game i was so upset because there was still so much to do around the open world. I highly recommend you buy this game and i personally think Assassins Creed Black Flag is ten times more funner than the past Assassins Creeds. You will not be disappointed. :D",2013-12-10,300,76561198059582003,242050,Assassin's Creed IV Black Flag,531,0,1
16796,action,Counter-Strike: Global Offensive,2012-08-21,14.989999771118164,730,Valve,2012,76561198086933353,730,"It is a really fun game, I'ts not like your average fps, Unlike call of duty, this game Uses Skill,Teamwork and other stuff like that 10/10",2015-12-22,29,76561198059555148,730,Counter-Strike: Global Offensive,2333,0,1
20478,indie,Fistful of Frags,2014-05-09,-1.0,265630,Fistful of Frags Team,2014,DANKESTMEMEMACHINEEVER,265630,multiplayer doesnt work. but still overall great game 9/10,2014-06-12,29,76561198059555148,265630,Fistful of Frags,49,0,1
11491,freetoplay,Gotham City Impostors Free to Play,2012-08-30,-1.0,206210,"Monolith Productions, Inc.",2012,76561198102469448,206210,"A great, hyper-kinetic, gadget-filled alternative to too serious shooters like COD and BF. If you want a little more variety in your FPS than just what style of grenade to carry around, this is your game. All for the low, low price of free.",2014-04-22,7,76561198059607448,206210,Gotham City Impostors: Free To Play,10,0,1
18947,simulation,Road Redemption,2017-10-04,16.059999465942383,300380,"Pixel Dash Studios, EQgames",2017,Write-0ff,300380,"Suddenly i am taken back to my youth, hunched over an old arcade console spewing 20c coins into the machine to keep my dream alive.This game is a must for any old school racer who needs a nostalgia injection administered by a guy on a bike weilding a baseball bat, Gameplay is nice. smooth, still some work to be done with the AI i believe.Most importantly the Dev who is working on this release is actively patching and updating daily, i have already spoken to him in regards to some of the game mechanics and my input was welcomed and appreciated.I am yet to try co-op or multiplayer as none of my friends own this release yet, but i have no doubt it will be smooth, and any issues that are found will be fixed promptlyGiving this game 8/10, for an indie release especially, this game is fantastic.",2014-10-21,469,76561197979969685,300380,Road Redemption,63,0,1
24924,simulation,Star Conflict,2013-02-27,-1.0,212070,Star Gem Inc.,2013,AussieGrimm,212070,"World of Tanks styled space dogfighting game. Use of bots to fill out MP matches ensures short wait times for PvP. Interesting mix of ship sizes and roles. PvE missions offer some variety. I found the UI a little lacking in enemy detection/direction and found it easy to lose enemy ships or locate their incoming direction (though this could be inexperience with the game). No controller support I could find, but a minor gripe, as mouse/keyboard is fine.",2013-12-30,115,76561198059637978,212070,Star Conflict,492,0,1
13571,earlyaccess,Rust,2013-12-11,19.989999771118164,252490,Facepunch Studios,2013,protodan2001,252490,       t peice of garbage 3/10,2014-02-11,10,76561198059575326,252490,Rust,4329,0,0
21207,adventure,Far Cry 3,2012-12-04,19.989999771118164,220240,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",2012,tangello1,220240,amazing,2012-12-27,300,76561198059582003,220240,Far Cry  3,104,0,1
4730,action,Counter-Strike: Global Offensive,2012-08-21,14.989999771118164,730,Valve,2012,miraco12,730,good,2015-12-24,29,76561198059555148,730,Counter-Strike: Global Offensive,2333,0,1
16183,indie,Crayon Physics Deluxe,2009-01-07,19.989999771118164,26900,Kloonigames,2009,mashedspudtatoes,26900,"I have played this game for an hour and a half. I think forty-five minutes of it was puzzle-solving, the rest was actually drawing on the world-map.Brilliant if you have a graphics tablet, pretty awesome if you don't.",2011-12-27,56,76561198059749431,26900,Crayon Physics Deluxe,8,0,1
23106,adventure,Tomb Raider,2013-03-04,19.989999771118164,203160,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013,hkdgjm,203160,"Wow, this game is amazing. For me this is game of the year 2013. Story and gameplay are just great. I was just blown away in the first 5 minutes of the game. Voice acting is crisp and is very well done. Cutscene were amazing and they made you really feel for each of the chartacters. Combat, sealth and cover system felt so natural. After completing it I had remembered that it was a reboot which made me excited for the next game,",2013-12-13,121,76561198059566639,203160,Tomb Raider,896,0,1
26828,strategy,Company of Heroes 2,2013-06-25,19.989999771118164,231430,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2013,legendaneo,231430,Great Fast Past Strat game.8/10Needs more base units in the game I believe.Should get atleast 1 item per Multiplayer game!,2014-06-30,47,76561198059874904,231430,Company of Heroes 2,0,0,1
11007,action,Counter-Strike: Global Offensive,2012-08-21,14.989999771118164,730,Valve,2012,76561198063399108,730,Great game! fun to play casually or play competetivly. completly recomend it,2014-08-08,29,76561198059555148,730,Counter-Strike: Global Offensive,2333,0,1
15529,earlyaccess,The Forest,2014-05-30,14.989999771118164,242760,Endnight Games Ltd,2014,grasp544,242760,"I was a bit disappointed. I was hoping to find out how many children had banged my mum. But no luck on this game. :(You need to play this game to enjoy it. (Logic 101)And finally, 5 plus a day, that's the healthy way.",2014-12-25,1409,76561197971666535,242760,The Forest,0,0,1
22493,adventure,Call of Duty®: Black Ops III,2015-11-05,59.9900016784668,311210,Treyarch,2015,BigUnna,311210,Hitmarkers,2015-11-10,75,76561198059768123,311210,Call of Duty: Black Ops III,416,0,1
96,adventure,Call of Duty®: Black Ops III,2015-11-05,59.9900016784668,311210,Treyarch,2015,Dwash,311210,ez game,2024-08-06,75,76561198059768123,311210,Call of Duty: Black Ops III,416,0,1
15381,rpg,Rogue Legacy,2013-06-27,14.989999771118164,241600,Cellar Door Games,2013,76561198064380004,241600,"A fun game. Rogue Legacy has all that I could want from a game of this genre, and adds in a little bit more to the mix, creating a great gameplay experience.",2013-07-03,1409,76561197971666535,241600,Rogue Legacy,0,0,1
20565,indie,The Plan,2013-02-10,-1.0,250600,Krillbite Studio,2013,ShirukeiPoH,250600,"THE BEST GAME OF THE YEAR, I HATE INSECTS BUT ""THE PLAN"" IS A BEATFUL GAME , I LOVE THE PLAN!!!!!!!!!!!!!",2014-03-18,42,76561198059732546,250600,The Plan,7,0,1
15650,rpg,Fallout 3: Game of the Year Edition,2009-10-13,19.989999771118164,22370,Bethesda Game Studios,2009,76561198095920137,22370,game crashes in combat...if you dont know how to fic this then dont buy it!,2014-05-26,54,76561198059623087,22370,Fallout 3 - Game of the Year Edition,23,0,1
6692,strategy,Defense Grid: The Awakening,2008-12-08,9.989999771118164,18500,Hidden Path Entertainment,2008,76561198005820284,18500,Best tower defense game I've played,2015-10-31,1283,76561198060270149,18500,Defense Grid: The Awakening,624,0,1
20525,adventure,The Walking Dead: Season 2,2013-12-17,24.989999771118164,261030,Telltale Games,2013,76561198049333966,261030,"Brilliant game, episode 1 has got me hooked already. Can't wait to see how the story progresses.",2014-01-06,300,76561198059582003,261030,The Walking Dead: Season Two,40,0,1
5550,strategy,Dungeon Defenders,2011-10-18,14.989999771118164,65800,Trendy Entertainment,2011,markram420,65800,amazing by itself. jesus with the dlc's.,2014-06-28,100,76561197971662256,65800,Dungeon Defenders,0,0,1
18529,rpg,Starbound,2016-07-22,14.989999771118164,211820,Chucklefish,2016,Fagola69,211820,Starbound so far is a good game. Just imagine Terraria and Mass effect had a baby. Keep in mind what ever bugs you may encounter in the game will hopefully be patched soon and God help us if chucklefish deletes everyones worlds and characters again!,2014-08-06,142,76561197971829766,211820,Starbound,155,0,1
7569,rpg,Castle Crashers®,2012-09-26,14.989999771118164,204360,The Behemoth,2012,lixdy,204360,One of the funnest games i have played,2015-09-09,121,76561198059566639,204360,Castle Crashers,550,0,1
12054,strategy,The Settlers Online,2010-10-21,-1.0,354640,Blue Byte,2010,76561198004669632,354640,"a 30mb facebook/mobile type game, you can spend thousands of dollars to build a line of 5 identical low quality houses, years of your life waiting out the timers, or you can buy a $5 full game with no        business practices, and doesn't play on people with addiction issues(also if thats not enough, first thing you will be greeted with upon startup will be a music-less main screen asking you to sign up to thier service and sign a user agreement, and if you sit on that screen for more than a minute, a background process that runs with the game will likley crash)",2015-08-20,36,76561198059644607,354640,The Settlers Online,16,0,0
27725,action,Counter-Strike: Global Offensive,2012-08-21,14.989999771118164,730,Valve,2012,macintosh1122,730,Currently ruining my life. 10/10,2013-12-27,29,76561198059555148,730,Counter-Strike: Global Offensive,2333,0,1
14687,rpg,ARK: Survival Evolved,2017-08-29,59.9900016784668,346110,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017,calldogedoggie,346110,Very good game if you know how to play it and if you have patients.Teamwork is what you will need and good internet or a good computer that can handle lag.If this game wasnt laggy and glitchy it would be perfect.,2015-12-09,54,76561198059602670,346110,ARK: Survival Evolved,82,0,1
26944,indie,You Have to Win the Game,2012-05-06,-1.0,286100,Minor Key Games,2012,superduckman100,286100,"great time waster, very difficult to master. the different modes gives a different challenge.",2014-06-30,52,76561197974118426,286100,You Have to Win the Game,3,0,1
25595,indie,Unturned,2017-07-07,-1.0,304930,Smartly Dressed Games,2017,theguywithnobrain,304930,"Pretty cool game to pass the time, or if you get into it you can play it for hours. If your PC is not the best one you can put the settings to the lowest and run it smooth. Awesome game 10/10",2024-01-16,77,76561197971688382,304930,Unturned,45,0,1
26467,simulation,Receiver,2013-04-29,4.989999771118164,234190,Wolfire Games,2013,alpal88,234190,"its a fun little game that is rather hard,dont expect to get to the ending.",2015-12-05,300,76561198059582003,234190,Receiver,0,0,1
25951,adventure,Portal 2,2011-04-18,19.989999771118164,620,Valve,2011,oklusion,620,"One of the most creative, well polished games I've played. 10/10 Hands down must have.",2013-08-11,6,76561198059561486,620,Portal 2,181,0,1
22741,strategy,Verdun,2015-04-28,24.989999771118164,242860,"M2H,Blackmill Games",2015,76561198095923468,242860,Good WW1 fps.  Nuff said,2024-05-01,32,76561198059590942,242860,Verdun,251,0,1
27059,indie,Unturned,2017-07-07,-1.0,304930,Smartly Dressed Games,2017,76561198104835967,304930,plz,2014-07-19,77,76561197971688382,304930,Unturned,45,0,1
10989,simulation,Star Conflict,2013-02-27,-1.0,212070,Star Gem Inc.,2013,AvatarICEMAN,212070,"I like it, for the fact I can choose PVE, PVP or even just head out and cruise.Took me awhile to work out which Faction I liked, but its all good.I recommend to give it a go",2015-12-31,115,76561198059637978,212070,Star Conflict,492,0,1
2664,adventure,Just Cause™ 3,2015-11-30,49.9900016784668,225540,Avalanche Studios,2015,76561198006896411,225540,"This game is extremely Horrible, and extremely Frustrating.This game fees extremely rushed, and created by a team who are new to the industry.Yes, the game in the first 30mins of gameplay feels fun, running around causing chaos, and blowing stuff up. That however, is the fun part of the game. The frustration first begins when you have to constantly log into squareunix servers, which constantly happens, and takes 2+ minutes just to work. The next thing that will have you getting mad is wanting to restart a minigame, only to once again having to connect to the game server... cause you just lost contact again. Then as you start to play the game, the game pauses because once again... YOU LOST CONNECT TO THE SERVERS AND NOW HAVE TO WAIT ANOTHER FIVE MINUTES TO CONNECT! This game is nothing but a wait simulator, nothing more.The control config in this game is horrible, press 'e' to set a mine and press 'e' to enter a vehicle is just wrong!The steering in this game is bad, vehicles in this game feel like im playing a 1990 nintendo racing game.The graphics in this game is bad, Just cause 2 had better graphics.Save your money, don't touch this piece of garbage.2/10",2024-02-05,41,76561198059739464,225540,Just Cause 3,19156,41,0
6087,strategy,Total War™: ROME II - Emperor Edition,2013-09-02,59.95000076293945,214950,Creative Assembly,2013,76561198051065449,214950,Let down,2014-06-29,10,76561198059615734,214950,Total War: ROME II - Emperor Edition,0,0,0
13792,earlyaccess,Scrap Mechanic,2016-01-19,19.989999771118164,387990,Axolot Games,2016,76561198022149086,387990,"Hello all, I was so hyped for this game i bought and then the game hit the start of screen and it was completely black and then it just crashed, Now i did a lot of things to fix this issue and found out its not my computer but the game its self, It does not run for some reason on windows 10 computers with all the requirements to run this game, I will put the game on follow and i have already refunded it, Please devs fix this issue its been 6 months or so since the issue was found, Please hurry it up and fix this issue, New Gen computer systems like Windows 10 should run this but for some reason your game is not opitizmed for it, Heck my computer can run Homebrew - Vehicle, On high graphics but not even start up this game, I was really looking forward to playing this game. All i ask is for the Deves to adress this problem as a major number 1 objective and fix the issue.",2024-06-19,320,76561197980092313,387990,Scrap Mechanic,296,0,0
6481,freetoplay,Warframe,2013-03-25,-1.0,230410,Digital Extremes,2013,tishoo,230410,"Space ninjas in space. With guns. Also they're space ninjas. In space. And you run around all parkour, shooting and cutting up everyone you see. In space. Also did I mention that you're a freakin' space ninja. In space!",2013-10-13,121,76561198059566639,230410,Warframe,264,0,1
20036,indie,Thomas Was Alone,2012-11-12,9.989999771118164,220780,Bithell Games,2012,DavieTheCheese,220780,"Beautiful game, 10/10 for originality too, brought me to tears in some parts. wont suit everyone but is a must have for anyone with an open mind",2014-05-11,56,76561198059749431,220780,Thomas Was Alone,20,0,1
1288,strategy,You Must Build A Boat,2015-06-04,4.989999771118164,290890,EightyEightGames,2015,76561198041865057,290890,"Solid game and only for a couple of bucks. I am only two hours in, but can't wait to keep playing when I have more time. Easy to pick up and play, the game is simple enough but is pretty addicting. Only annoyance is sometimes clicking out the window but it pauses automatically when you do. Others say it seems more like a mobile game, but the fast paced nature of the game lends it self more to the mouse where it makes it easier not to screw up",2015-06-08,1409,76561197971666535,290890,You Must Build A Boat,0,0,1
2647,strategy,Bloons TD Battles,2016-04-20,-1.0,444640,Ninja Kiwi,2016,ShamPowWow,444640,"Riddled with hackers. They're literally in every second game. If they made a single player in this as well however, it'd be pretty     ing awesome.",2024-09-11,72,76561197986971102,444640,Bloons TD Battles,50,0,0
14041,adventure,Prototype™,2009-06-10,19.989999771118164,10150,Radical Entertainment,2009,76561198090092678,10150,esta genial,2014-01-11,17,76561198059720238,10150,Prototype,358,0,1
10501,sports,SpeedRunners,2016-04-19,14.989999771118164,207140,DoubleDutch Games,2016,ArMeDNeo,207140,"This game is very competitive and fast paced. But it really is fun! You have a range of characters to choose and all you try to do is be the fastest and get ahead before you get left behind from the others and explode into ""the walls"". It's a simple task but very fun and tricky with all the powerups and other awesome things included in this game. It can be raging to some people though, but trust me at least give it a go because it is SO FUN. Especially with friends! The graphics are simple so you don't need that great of a graphics card which is good and there are a whole load of  maps by default but you can also choose a bunch of other maps made by other players. It really is a great and competitive game!",2014-09-09,176,76561198059611702,207140,SpeedRunners,1479,0,1
16372,action,Saints Row: The Third,2011-11-14,9.989999771118164,55230,Volition,2011,76561198087556976,55230,"Amazing game, nice sandbox and fun just mucking around - would do it all day 9.5/10",2015-08-11,121,76561198059566639,55230,Saints Row: The Third,129,0,1
11562,rpg,Borderlands 2,2012-09-17,19.989999771118164,49520,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012,nolosing,49520,"Fun crazy gun play with ridiculous eneimes, such a great game",2014-06-22,1409,76561197971666535,49520,Borderlands 2,8668,0,1
28417,action,Half-Life,1998-11-08,9.989999771118164,70,Valve,1998,76561198037529631,70,It's hours of frustration and fun! It has a great story and is impossible to stop playing!,2013-12-21,83,76561198059599439,70,Half-Life,203,0,1
20512,indie,Geometry Dash,2014-12-22,3.990000009536743,322170,RobTop Games,2014,gabbler123,322170,10/10 flappy-bird-level-creator 2015 would lose faith in humanity again,2015-01-29,244,76561197987227732,322170,Geometry Dash,23,0,1
14276,earlyaccess,RimWorld,2016-07-15,29.989999771118164,294100,Ludeon Studios,2016,76561198027488037,294100,"This game is addictive! The taming system is fun along with the fighting, hunting, building, and much, much more!The only problem I have is that on RimWorldGame.com you can buy these packs WITH the game! As is, it's a pack that includes the game and the NameInGame option. And the soundtrack too. When I bought the game, I was hoping that I'd be able to save up enough money for one of the little bonuses, like my character in the game! But I can't just add $10 and get it, no! I need to purchase the same game again! If it's possible, could someone working on this game find a way to let me do this?",2024-08-11,341,76561198059818459,294100,RimWorld,8,0,1
7822,action,BioShock Infinite,2013-03-25,29.989999771118164,8870,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013,76561198041579842,8870,I will grow old and look back at my past and will remember this game. I will remember how it changed me as a person and how it was my childhood. 100000000/10,2024-03-27,300,76561198059582003,8870,BioShock Infinite,198,0,1
6198,indie,McPixel,2012-09-25,4.989999771118164,220860,Sos,2012,barnziee_,220860,Awesome game. Good for its entertainment value. A must if you're bored :),2014-07-24,300,76561198059582003,220860,McPixel,430,0,1
4058,action,The Binding of Isaac: Rebirth,2014-11-04,14.989999771118164,250900,"Nicalis, Inc.",2014,appalot,250900,"Amazing game. Plays just like the original, only way better. Similar enough to beat Mom on the first run with 11 achieves, but new enough to get curious about all the new items and enemies :3",2014-11-04,127,76561197971829696,250900,The Binding of Isaac: Rebirth,6,0,1
13685,simulation,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011-09-13,19.989999771118164,35450,Tripwire Interactive,2011,commanderjao,35450,"Pretty ace game, large variety of maps, and lethal weapons. If you like realism, you should really play this game, if you don't your try it none the less.",2013-05-17,121,76561198059566639,35450,Rising Storm/Red Orchestra 2 Multiplayer,53,0,1
14507,adventure,The Walking Dead,2012-04-24,24.989999771118164,207610,Telltale Games,2012,venoix,207610,"This game is just... words can not possibly describe the emotional rollercoaster that this game places you on. From the moment you end up almost dead in the cop car at the start of the game, the game grants you many choices which determine the relationship that Lee has with other characters. It's all well and good to think that there is a right and wrong answer to everything, but there isn't. Each choice you make will have consequences that effect the way characters will respond to you later, so you must choose your allies well, lest you all become zombie chowder.The graphics are similar in style to the comic, which doesn't detract at all from the experience. The gruesome setail oozes off the screen and makes you feel for the situations that the characters are in. It's difficult to put into words how this occurs, as to mention where this happens, is to spoil the plot. Don't ever feel like you are safe, as in The Walking Dead, there is no such thing as safety - especially in numbers.",2012-09-11,121,76561198059566639,207610,The Walking Dead,190,0,1
19668,Unknown,Spermination,1970-01-01,2.990000009536743,363460,Unknown,1970,BuzzJC,363460,"BROOOOOO, I'm not going to lie, I have no idea how I won this race. IRL",2015-07-07,93,76561198064875290,363460,Spermination,0,0,1
8300,action,Counter-Strike: Global Offensive,2012-08-21,14.989999771118164,730,Valve,2012,deranked,730,"From 1k hours of playingR.I.P CS:GO sounds you will always be in our heart R.I.P P90 sound and USP soundBRING BACK THE ORIGINAL SOUNDS PLZ ,GABE #RIPCSGO",2015-11-25,29,76561198059555148,730,Counter-Strike: Global Offensive,2333,0,0
14180,simulation,Stardew Valley,2016-02-26,14.989999771118164,413150,ConcernedApe,2016,hydro_2k,413150,gets me goin on a saturday morningchef did 9/11,2024-04-21,127,76561198059687929,413150,Stardew Valley,145,0,1
19834,freetoplay,Tribes: Ascend,2012-06-27,-1.0,17080,Hi-Rez Studios,2012,Carlos926,17080,"EL Juego del todo no esta mal pero hay muchos ingredientes que te quitan las ganas de jugarlo y al momento mientras lo juegas el juego se siente muy cutre de un modo como sus mapas tan sencillos y ya pr cticamente la comunidad de este juego esta muerta con menos de 200 Jugadores en ella, puede llegar a ser muy cruel con los novatos ya con el tipo de juego que es un estilo r pido no falta el mini Willyrex del equipo del contrario el cual sabe el arma mas poderosa del juego  pidiendo bombardeos cada 5 segundos ( que los hay ) y te quedas en tu base hasta que acabe la partida en fin el juego es como un proyecto padre e hijo :v",2014-02-28,121,76561198059566639,17080,Tribes: Ascend,1,0,0
12290,rpg,Fallout 4,2015-11-09,29.989999771118164,377160,Bethesda Game Studios,2015,76561198058454220,377160,                  ,2015-12-02,176,76561198059611702,377160,Fallout 4,3365,0,0
6151,action,Left 4 Dead 2,2009-11-16,19.989999771118164,550,Valve,2009,SuNNZ,550,Endless Zombie Horde'z,2012-07-12,100,76561197971662256,550,Left 4 Dead 2,0,0,1
